Feat_1,Feat_2,Feat_3,Feat_4,Feat_5,Feat_6,Feat_7,Feat_8,Feat_9,Feat_10,Feat_11,Feat_12,Feat_13,Feat_14,Feat_15,Feat_16,Feat_17,Feat_18,Feat_19,Feat_20,Feat_21,Feat_22,Feat_23,Feat_24,Feat_25,Feat_26,Feat_27,Feat_28,Feat_29,Feat_30,Feat_31,Feat_32,Feat_33,Feat_34,Feat_35,Feat_36,Feat_37,Feat_38,Feat_39,Feat_40,Feat_41,Feat_42,Feat_43,Feat_44,Feat_45,Feat_46,Feat_47,Feat_48,Feat_49,Feat_50,Feat_51,Feat_52,Feat_53,Feat_54,Feat_55,Feat_56,Feat_57,Feat_58,Feat_59,Feat_60,Feat_61,Feat_62,Feat_63,Feat_64,Feat_65,Feat_66,Feat_67,Feat_68,Feat_69,Feat_70,Feat_71,Feat_72,Feat_73,Feat_74,Feat_75,Feat_76,Feat_77,Feat_78,Feat_79,Feat_80,Feat_81,Feat_82,Feat_83,Feat_84,Feat_85,Feat_86,Feat_87,Feat_88,Feat_89,Feat_90,Feat_91,Feat_92,Feat_93,Feat_94,Feat_95,Feat_96,Feat_97,Feat_98,Feat_99,Feat_100,Feat_101,Feat_102,Feat_103,Feat_104,Feat_105,Feat_106,Feat_107,Feat_108,Feat_109,Feat_110,Feat_111,Feat_112,Feat_113,Feat_114,Feat_115,Feat_116,Feat_117,Feat_118,Feat_119,Feat_120,Feat_121,Feat_122,Feat_123,Feat_124,Feat_125,Feat_126,Feat_127,Feat_128,Class,Run
305.52,215.82,165.14,117.9,92.736,73.578,62.479,54.147,47.533,41.614,36.195,31.215,26.316,23.369,20.853,19.167,18.077,17.379,16.122,15.207,14.3,13.322,12.154,11.161,10.405,9.9339,9.8663,9.8405,9.8023,9.029,8.7098,9.2494,8.8389,8.3893,8.8471,9.0778,8.7265,9.1007,9.8541,10.172,10.981,12.899,15.415,19.899,29.123,44.93,54.638,42.264,30.388,24.975,20.877,17.266,14.341,12.488,12.14,13.081,14.482,13.941,11.947,10.513,9.7541,9.7344,10.269,11.406,13.645,14.67,12.454,10.635,9.8511,9.5012,9.4272,9.5042,9.5845,9.7956,10.061,10.279,10.594,11.07,11.376,11.934,12.693,13.402,14.498,16.043,17.644,19.779,22.684,25.921,30.17,35.77,42.506,51.334,63.062,78.3,98.803,126.2,162.9,210.9,267.2,320.87,358.83,362.38,330.54,282.84,237.73,198.96,166,140.5,122.55,108.23,96.167,87.711,81.633,76.298,72.301,70.015,68.276,67.175,67.294,68.07,69.493,72.105,75.629,80.276,86.58,94.659,104.83,117.86,0,1
312.4,209.52,142.47,113.83,94.779,71.671,58.512,53.154,44.348,35.718,33.504,31.007,25.107,22.439,22.606,19.755,16.512,16.954,15.712,13.536,12.767,12.446,12.029,11.847,11.443,10.891,10.046,9.6893,9.1597,8.809,8.6394,8.7566,8.8625,9.0823,9.1731,9.2335,9.2897,9.3944,9.7735,10.49,11.799,13.998,17.799,24.975,38.198,51.898,45.754,34.301,30.806,28.945,22.603,16.79,13.641,12.228,11.944,12.69,13.477,12.347,10.797,9.8438,9.4625,9.6662,10.199,11.461,13.875,14.888,12.69,10.913,10.083,9.7369,9.648,9.6917,9.7745,9.9786,10.182,10.372,10.719,11.065,11.354,11.999,12.725,13.502,14.8,16.333,17.989,20.476,23.432,26.825,31.505,37.322,44.401,53.921,66.368,82.711,104.65,133.97,173.62,224.4,281.76,335.73,369.12,364,325.52,277.47,232.78,193.9,161.33,137.82,120.58,106.07,94.682,87.106,80.884,75.466,72.08,69.868,68,67.143,67.422,68.197,69.79,72.535,76.159,81.006,87.481,95.807,106.31,119.81,0,1
281.53,193.79,135.58,109.24,90.626,69.193,56.58,52.041,43.676,35.002,32.608,30.208,24.822,22.331,22.149,19.088,16.353,16.591,15.881,13.351,13.05,13.346,11.803,10.746,11.338,10.859,9.6909,9.8644,10.055,9.3015,9.084,9.5795,9.3628,9.1694,9.7704,10.358,10.54,11.732,13.834,16.835,22.297,29.881,39.63,47.305,39.397,31.467,31.315,36.68,35.669,28.453,21.137,16.156,13.629,12.086,11.726,12.368,12.527,11.2,10.248,9.7497,9.5161,9.7527,10.464,11.806,14.276,15.464,13.293,11.452,10.639,10.306,10.255,10.353,10.446,10.652,10.91,11.074,11.351,11.747,12.029,12.548,13.372,14.147,15.319,17.015,18.81,21.233,24.442,28.068,32.825,39.051,46.713,56.724,70.046,87.55,111.28,142.89,184.79,239.26,299.47,350.85,377.01,366.55,324.46,272.09,226.68,190.05,158.94,135.1,118.16,105.05,93.869,85.766,80.313,75.372,71.588,69.599,68.188,67.184,67.571,68.569,70.141,72.981,76.858,81.894,88.442,97.1,107.86,121.61,0,1
168.19,125.47,103.89,83.51,63.464,55.273,49.915,40.758,34.197,33.013,29.267,24.79,23.825,23.002,19.853,18.916,19.217,18.034,16.869,17.827,18.341,18.336,20.01,22.738,26.202,32.837,45.319,68.327,111.04,151.47,121.89,72.418,44.474,31.234,23.543,18.488,16.217,14.951,13.681,13.46,14.625,15.979,16.518,17.309,20.111,26.446,38.364,44.91,35.71,27.194,20.899,16.166,13.241,12.048,11.76,11.725,11.481,10.757,10.116,9.7986,9.9776,10.325,10.997,12.545,15.327,16.635,14.503,12.732,11.907,11.658,11.663,11.788,11.997,12.226,12.334,12.598,12.886,13.046,13.442,14.042,14.569,15.579,17.039,18.475,20.67,23.546,26.785,31.084,36.82,43.605,52.64,64.578,80.137,101.08,129.49,167.7,218.85,279.73,341.73,388.65,396.95,363.1,309.88,259.14,214.78,177.19,149.37,129.67,113.5,100.19,91.221,84.442,78.278,74.014,71.399,69.211,67.783,67.631,68.088,69.157,71.239,74.408,78.476,84.053,91.313,100.46,112.19,127.14,0,1
113.82,94.387,74.18,60.466,55.238,48.187,40.949,38.381,36.78,33.813,32.856,34.104,34.648,36.761,41.877,49.046,60.933,82.292,121.14,196.55,313.92,344.15,228,130.76,81.227,56.423,40.224,30.167,25.541,21.494,17.775,15.855,15.145,13.424,12.249,12.344,11.874,11.069,11.57,12.15,12.654,14.313,15.708,16.6,19.881,27.571,40.114,45.457,35.786,27.677,20.869,15.921,13.597,12.282,11.596,11.807,11.662,10.706,10.167,10.111,10.187,10.512,11.333,12.921,15.696,17.176,15.2,13.405,12.608,12.385,12.421,12.611,12.749,12.845,13.07,13.205,13.254,13.588,13.897,14.265,15.154,16.171,17.373,19.285,21.571,24.266,28.071,32.738,38.408,45.965,55.702,68.302,85.16,107.85,139.04,180.73,234.42,299.38,364.53,403.01,396.73,359.23,306.32,251.7,205.88,172.41,146.95,125.76,110.13,99.326,90.191,82.543,77.655,74,70.638,68.763,68.03,67.591,68.094,69.637,71.82,74.988,79.42,85.175,92.549,102.17,114.42,129.72,0,1
109.28,91.88,77.049,61.537,53.668,49.979,43.166,39.025,38.311,36.946,35.295,36.825,39.574,42.985,50.089,62.044,81.546,118.19,189.32,310.71,379.41,272.97,160.34,96.78,62.457,45.822,35.721,27.534,22.593,20.325,17.702,15.126,14.566,13.784,12.347,11.865,12.094,11.499,11.282,12.081,12.96,14.082,15.356,16.248,18.566,24.732,36.43,45.6,38.152,29.693,22.865,17.134,14.066,12.797,12.071,11.948,12.03,11.255,10.539,10.399,10.505,10.69,11.372,12.932,15.825,17.938,15.593,13.058,11.756,11.137,10.858,10.783,10.815,10.859,11.055,11.41,11.7,12.16,12.918,13.604,14.583,16.023,17.477,19.381,22.03,24.967,28.73,33.829,39.924,47.774,58.337,72.038,90.418,115.1,149.09,195.53,254.21,321.09,383.23,414.92,398.71,348.04,292.98,242.85,199.42,165.97,142.53,123.89,108.28,97.153,89.594,82.509,76.98,73.763,71.106,68.837,68.103,68.048,68.407,69.928,72.46,75.688,80.222,86.302,94.079,103.9,116.74,132.92,0,1
140,110.97,84.07,69.359,61.935,51.503,43.219,40.755,37.221,32.075,30.371,29.899,27.566,26.955,28.262,29.033,30.585,35.058,41.733,52.232,71.773,107.27,173.2,257.34,243,151.48,88.355,56.484,40.637,30.473,23.508,20.247,17.921,15.271,13.966,13.648,12.52,11.827,12.257,12.498,12.908,14.724,15.876,16.04,18.343,24.399,35.21,44.569,38.266,29.828,22.571,17.092,14.316,12.645,11.889,12.1,12.071,11.157,10.624,10.474,10.396,10.641,11.383,12.847,15.694,17.836,15.502,12.965,11.668,11.045,10.779,10.712,10.676,10.769,11.033,11.239,11.57,12.145,12.69,13.399,14.544,15.68,17.122,19.219,21.528,24.358,28.286,32.921,38.761,46.557,56.538,69.577,87.143,110.77,143.41,186.8,242.77,310.12,374,406.59,395.9,354.68,300.23,245.73,202.34,170.77,145.29,124.47,109.77,99.252,89.984,82.646,78.082,74.221,70.859,69.181,68.332,67.778,68.332,69.883,72.039,75.212,79.746,85.527,93.031,102.78,115.18,130.75,0,1
214.92,162.66,116.74,92.324,80.61,65.328,51.56,46.924,42.602,33.857,30.424,29.378,25.436,21.779,21.304,19.862,17.054,16.23,16.392,14.616,13.265,13.572,13.148,11.808,12.041,12.395,11.633,11.66,12.596,13.007,13.872,16.921,22.212,31.75,50.386,74.795,71.675,47.338,31.914,24.219,20.941,21.451,21.708,19.51,19.519,23.442,31.776,41.337,38.18,30.189,22.724,17.139,14.326,12.667,11.893,12.18,12.367,11.368,10.533,10.273,10.156,10.291,11.005,12.403,15.124,17.152,14.885,12.393,11.145,10.552,10.294,10.233,10.196,10.244,10.505,10.714,10.993,11.547,12.068,12.7,13.767,14.895,16.192,18.18,20.367,22.999,26.721,31.074,36.457,43.793,53.007,64.986,81.105,102.73,132.32,171.94,223.19,286.81,350.82,390.52,390.38,357.39,306.44,252.39,207.7,175.21,149.03,127.3,111.82,100.82,91.175,83.502,78.591,74.627,71.156,69.244,68.257,67.602,67.981,69.426,71.468,74.465,78.809,84.473,91.683,101.16,113.2,128.26,0,1
289.62,216.74,159.55,115.78,94.646,80.979,63.322,51.698,47.963,41.324,33.38,30.988,28.89,24.287,21.692,21.592,19.175,16.447,16.324,15.84,13.538,12.876,13.264,11.974,10.876,11.298,11.034,9.7804,9.8871,10.137,9.3803,9.0423,9.58,9.3791,8.9088,9.2687,9.6442,9.3522,9.7204,10.635,11.341,12.632,15.523,20.283,29.516,45.122,51.142,38.953,30.505,28.759,24.946,18.558,14.823,13.172,12.469,12.948,14.332,13.74,11.571,10.416,9.9275,9.787,10.264,11.557,13.892,15.528,13.428,11.184,10.026,9.5204,9.2796,9.2207,9.2641,9.312,9.5082,9.7942,10.061,10.463,11.069,11.612,12.449,13.614,14.761,16.359,18.548,20.837,23.887,27.945,32.62,38.712,46.794,56.882,70.31,88.267,112.25,144.96,187.54,240.56,301.37,352.15,371.25,355.21,316.03,267.04,220.82,184.81,157.55,134.72,116.62,104.04,94.405,85.895,79.71,75.689,72.044,69.285,68.135,67.466,67.291,68.353,70.236,72.849,76.688,81.899,88.519,97.163,108.37,122.41,0,1
320.61,229.49,175.89,128.26,96.384,83.276,68.611,53.566,47.006,43.29,35.102,29.726,29.074,25.84,21.486,20.461,19.933,16.908,15.265,15.605,14.046,12.331,12.615,12.384,10.726,10.462,10.923,9.9908,9.1112,9.6621,9.4912,8.6503,8.798,9.2312,8.7325,8.6035,9.1523,9.2897,9.2588,10.152,11.154,12.217,14.612,18.977,26.804,41.663,54.506,44.263,31.169,25.863,22.526,18.247,14.516,12.943,12.325,12.586,14.113,14.401,12.201,10.611,10.048,9.8754,10.199,11.418,13.703,15.249,13.194,11.074,9.9656,9.4359,9.2376,9.1619,9.2119,9.3027,9.4193,9.7117,10.002,10.303,10.881,11.468,12.12,13.2,14.365,15.682,17.646,19.909,22.512,26.165,30.59,35.937,43.156,52.382,64.21,80.157,101.46,130.21,168.44,216.64,274.32,330,361.51,357.3,324.83,280.02,233.38,193.69,164.12,140.69,121.3,106.92,96.847,88.098,81.101,76.534,73.05,69.901,68.208,67.522,67.167,67.801,69.464,71.801,75.229,79.971,86.086,93.98,104.28,117.31,0,1
