Test Name,UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DIM_SIZE,NUM_FRAMES,GRID_DIM,CASC_LEN,DIAG_INV,NITER,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
test_0_aie22_hw_qor,cholesky,22,float,16,4,1,6,0,16,1,1,1,243289,51,21040,421,28,6,6,7,85298,3582 3320 3566 3236 3236 3216
test_1_aie22_hw_qor,cholesky,22,cfloat,8,2,1,4,0,16,1,1,1,67555,15,8467,76,16,4,4,4,28904,4372 4270 4222 4266
test_2_aie2_hw_qor,cholesky,2,float,40,10,1,1,1,16,1,1,1,1341874,23,830458,24,19,1,1,3,132823,8896
test_3_aie22_hw_qor,cholesky,22,cfloat,160,5,4,5,0,16,default,default,default,,,,,,,,,,
test_4_aie22_hw_qor,cholesky,22,cfloat,192,3,4,3,0,16,default,default,default,,,,,,,,,,
test_5_aie22_hw_qor,cholesky,22,cfloat,64,2,2,10,1,16,1,1,1,2687013,108,188230,124,191,28,28,35,1156741,5226 5726 5726 5214 5726 5726 4762 5064 5256 5390 5550 5390 4686 5406 4686 4686 5226 4686 5550 5036 4686 5550 4686 8486 5550 4686 5344 4686
test_6_aie1_hw_qor,cholesky,1,float,24,7,1,2,0,16,1,1,1,121300,153,32823,153,18,2,2,5,106146,3014 2004
test_7_aie22_hw_qor,cholesky,22,cfloat,16,6,2,4,0,16,1,1,1,391551,24,49033,218,54,12,12,16,148044,4508 4668 4656 4628 4440 4496 4480 4602 4056 7368 4100 4100
test_8_aie1_hw_qor,cholesky,1,float,72,2,3,1,0,16,1,1,1,116592,176,48980,180,40,6,6,12,138898,2822 2822 2910 3680 3434 3426
test_9_aie2_hw_qor,cholesky,2,float,32,91,4,8,1,16,default,default,default,,,,,,,,,,
test_10_aie2_hw_qor,cholesky,2,float,32,5,2,5,1,16,1,1,1,876277,44,107104,45,70,15,15,19,253564,7904 8640 8624 8688 8704 2528 2864 2928 2928 2960 9952 2384 2384 2384 2384
test_11_aie1_hw_qor,cholesky,1,float,360,1,5,1,1,16,default,default,default,,,,,,,,,,
