UUT_KERNEL,DATA_TYPE,TWIDDLE_TYPE,POINT_SIZE,FFT_NIFFT,SHIFT,CASC_LEN,DYN_PT_SIZE,WINDOW_VSIZE,PARALLEL_POWER,API_IO,USE_WIDGETS,ROUND_MODE,SAT_MODE,TWIDDLE_MODE,DATA_OUT_TYPE,AIE_VARIANT,USE_PKT_SWITCHING,POLYPHASE_ORDER,NPORT_I,NPORT_O,SINGLE_BUF,COMPILE,SIM,FUNC,Latency_last (ns),Throughput_last (MSa/s),Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
fft_ifft_dit_1ch,cint16,cint16,4096,0,0,1,0,12288,2,0,1,8,0,0,cint16,AIE-MLv2,0,0,1,1,0,1,1,1,22936.0,3490.0,11827.2,22502.4,3108.05,3518.27,4379.0,3793.52,139.0,28.0,28.0,51.0,727368.0,1000 1570 1570 904 904 1000 1000 3718 904 1570 1000 1570 904 1570 904 1000 1000 1570 3718 904 3718 1000 1000 1570 904 904 1570 3718
fft_ifft_dit_1ch,cint16,cint32,1024,0,0,1,0,1024,4,0,1,2,0,1,cint32,AIE,0,0,1,1,0,1,1,1,3093.0,1954.0,1552.0,3062.64,1932.05,524.13,619.0,2081.3,529.0,208.0,208.0,288.0,390912.0,1534 1436 1682 1682 1534 1682 1534 1436 3204 1436 1436 1666 1682 1534 1682 1534 1682 1534 1534 1436 3204 1436 1436 3204 1436 1534 1436 1534 1682 1682 1436 1682 1436 1534 1682 3204 1436 1534 1682 1534 1436 3204 1436 1534 1682 1436 1682 1534 1436 1666 1534 1436 1534 1534 1682 1436 3204 1436 1534 1682 1436 1436 1534 1682 1682 1534 1436 1682 1436 1436 1666 1534 1534 1534 3172 1436 1436 1666 3204 1436 1534 1682 1682 1534 1436 1534 1682 1534 1682 1682 1682 1682 1534 1436 1666 1534 1682 1534 1436 1682 1534 3204 1436 1534 1682 1436 1436 3204 1436 1534 1682 1436 1682 1534 1436 1534 1534 1682 1682 1534 1436 1666 1436 1534 1682 1682 1534 1534 1682 1436 3204 1436 1534 1682 1436 3204 1436 1436 1436 1534 1436 1682 1534 1436 1666 1534 3204 1436 1436 1534 1436 1436 1534 1682 1682 1682 3204 1682 1534 1436 1534 3204 1436 1682 1436 1666 1534 1534 1534 1682 1436 1682 1534 1436 1666 1534 1436 1436 1534 1682 1534 1682 1436 1436 1436 1534 1682 1534 1534 1682 3204 1682 1534 1682 1436 1436 1682 1534 1436 1666 1682 1436 1666 1534 1534 1534 1534 1682
fft_ifft_dit_1ch,cfloat,cfloat,128,0,0,4,0,2048,0,0,0,8,0,0,cfloat,AIE-ML,0,0,1,1,0,1,1,1,91348.0,119.0,62547.2,91143.31,119.75,17014.89,21350.0,119.9,27.0,4.0,4.0,8.0,173099.0,1232 1664 1712 1712
fft_ifft_dit_1ch,cint16,cint16,512,0,0,3,0,10752,2,0,1,8,0,1,cint32,AIE-MLv2,0,0,1,1,0,1,1,1,60120.0,1773.0,13376.0,60113.6,2021.9,-1.0,1943.0,7759.81,227.0,36.0,36.0,74.0,1344912.0,890 892 890 1242 892 1240 890 1462 1242 1722 892 890 1242 1242 890 892 1242 892 1722 1240 890 1462 892 892 890 1242 1240 890 1242 1462 1722 1462 1722 1242 1240 892
fft_ifft_dit_1ch,cint32,cint16,16384,0,0,1,0,32768,4,1,1,2,0,1,cint32,AIE,0,0,1,1,0,1,1,1,34168.0,12830.0,15670.4,33620.8,8949.06,2548.36,2923.0,14017.79,930.0,240.0,240.0,359.0,5860320.0,1534 1894 1534 1534 1436 5184 1534 1878 1436 1894 1534 1436 1436 1436 1894 1534 1534 1878 1436 1894 1534 1436 1534 1894 1534 5184 1534 1894 1436 1534 5216 1436 1534 1436 1878 1910 1436 1436 1894 1436 1534 1534 1534 1534 1878 1436 1534 1894 1436 1894 1436 1436 1894 1534 1534 5216 1436 1436 1894 1436 1878 1436 1436 1534 1878 1534 1534 5216 1436 1910 1436 1534 1534 1436 1910 1436 1894 1534 1534 1534 1436 1436 1894 1436 1894 1534 1910 1534 1534 1878 1436 1894 1534 1436 1910 1436 1436 1910 1534 1436 1894 1534 5216 1436 1534 5216 1436 1534 1534 5216 1910 1436 5216 1534 1534 1910 1436 1910 1436 1534 1436 1436 1894 1534 1436 1894 1894 1534 1436 1910 1534 1534 1436 1878 1436 1436 1894 1534 1910 1534 5184 1436 1534 1436 1894 1534 1534 1436 1436 1910 1910 1436 5216 1534 1436 1894 1534 1534 1436 1436 1436 1910 1910 1534 1436 1534 1534 1436 1436 1534 1436 1910 1910 1534 1534 1534 1910 5184 1436 1534 1436 1534 1894 1534 1436 5216 1436 1534 1894 1436 1534 1894 1436 1436 1534 1910 1534 1910 1910 1534 1436 1436 1894 1534 1436 1534 1894 1534 1534 5184 1436 1436 1894 5216 1436 1436 1910 1534 1534 1436 1534 1878 1910 1534 1436 1436 1894 1534 1878 1534 1436 1534 1436 5184 1534 1436 1894 1910 1436 1534
fft_ifft_dit_1ch,cint16,cint16,32,0,0,2,0,2112,0,0,0,2,0,0,cint32,AIE,0,0,1,1,0,default,default,default,,,,,,,,,,,,,,
fft_ifft_dit_1ch,cint16,cint16,128,0,0,1,0,7552,1,0,1,8,0,1,cint16,AIE-ML,0,0,1,1,0,1,1,1,19140.0,1233.0,12920.0,19161.48,1232.48,6129.6,7634.0,1236.57,44.0,8.0,8.0,14.0,254882.0,1904 1136 1008 1056 1904 1136 1008 1056
fft_ifft_dit_1ch,cint32,cint16,2048,0,0,5,0,2048,0,0,0,8,0,0,cint16,AIE-ML,0,0,1,1,0,1,1,1,6374.0,624.0,6334.4,6371.9,624.39,3277.33,1200.0,2133.33,30.0,5.0,5.0,5.0,219078.0,1216 1488 1376 1680 1376
fft_ifft_dit_1ch,cfloat,cfloat,128,0,0,2,0,128,0,1,0,2,0,0,cfloat,AIE,0,0,1,1,0,1,1,1,1113.0,277.0,740.8,1113.59,278.22,460.0,542.0,295.2,7.0,2.0,2.0,4.0,8718.0,2656 3214
fft_ifft_dit_1ch,cfloat,cfloat,2048,0,0,3,0,4096,3,0,0,2,0,0,cfloat,AIE,0,0,1,1,0,1,1,1,15475.0,1939.0,6292.8,15450.31,1890.79,-1.0,2610.0,1963.19,163.0,48.0,48.0,60.0,573792.0,2132 2344 2696 2680 2696 2712 2304 2344 2304 2132 2304 2304 2696 2712 2344 2132 2304 2304 2132 2304 2304 2344 2696 2680 2696 2712 2344 2132 2304 2304 2132 2304 2304 2696 2712 2344 2132 2304 2304 2304 2304 2344 2696 2712 2132 2344 2696 2680
