UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DATA_OUT_TYPE,COEFF_TYPE,FIR_LEN,SHIFT,SAT_MODE,ROUND_MODE,INPUT_WINDOW_VSIZE,CASC_LEN,DUAL_IP,USE_COEFF_RELOAD,NUM_OUTPUTS,UUT_SSR,PORT_API,INTERPOLATE_FACTOR,DECIMATE_FACTOR,UUT_PARA_DECI_POLY,UUT_PARA_INTERP_POLY,UPSHIFT_CT,SINGLE_BUF,COMPILE,SIM,FUNC,Latency_last (ns),Throughput_last (MSa/s),Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
fir_sr_asym,1,cint16,cint16,cint16,24,16,0,0,256,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,2386.0,301.0,1107.2,2384.91,301.81,846.15,799.0,336.42,5.0,1.0,1.0,2.0,7517.0,4120
fir_sr_asym,22,int16,int16,int16,18,0,0,0,384,1,0,0,1,6,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint16,cint16,cint16,370,0,0,0,2960,3,0,0,1,5,0,1,1,1,1,0,0,1,1,1,5723.0,1561.0,12000.0,5732.8,1566.46,1887.33,3155.0,1558.55,185.0,75.0,75.0,136.0,658375.0,2172 2172 2156 2662 2662 2662 2918 2918 2918 2080 2088 2088 2630 2662 2662 2918 2902 2918 2080 2080 2088 2630 2630 2662 2918 2918 2918 2080 2080 2080 2630 2630 2630 2918 2902 2918 2080 2080 2080 2630 2630 2630 2878 2878 2878 2878 2878 2630 2630 2080 2080 2918 2902 2662 2630 2088 2080 2918 2918 2662 2630 2088 2080 2918 2918 2662 2630 2088 2080 2918 2918 2662 2630 2172 2172
fir_sr_asym,2,float,float,float,266,0,0,0,504,10,0,0,1,7,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint16,cint16,cint16,16,0,0,0,27392,1,0,1,1,8,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,int32,int32,int32,21,0,0,0,32,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,6802.0,57.0,220.8,6786.0,57.54,556.0,681.0,58.73,1.0,1.0,1.0,4.0,3387.0,5302
fir_sr_asym,22,int16,int16,int16,880,0,0,0,48,5,0,0,1,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,int16,int16,int32,4,0,0,0,2048,1,1,0,2,2,1,1,1,1,1,0,0,1,1,1,799.0,2316.0,88.0,798.4,2312.69,885.6,1098.0,2331.51,4.0,4.0,4.0,8.0,12028.0,1546 2254 1546 2254
fir_sr_asym,1,cfloat,cfloat,float,231,0,0,0,56160,10,0,1,1,3,1,1,1,1,1,0,0,1,1,1,2659.0,461.0,916.8,2659.2,461.46,121584.21,152076.0,461.68,99.0,90.0,90.0,156.0,380028.0,2664 2664 2664 3440 3440 3440 3200 3200 3200 3424 3424 3424 3200 3200 3200 3424 3424 3424 3200 3200 3200 3424 3424 3424 3096 3096 3096 3144 3144 3032 4486 4486 4486 2664 2664 2664 3440 3440 3440 3200 3200 3200 3424 3424 3424 3200 3200 3200 3424 3424 3424 3200 3200 3200 3424 3424 3424 3096 3096 3096 3032 3144 3032 3200 3200 3200 2732 2732 2732 3424 3424 3424 3200 3200 3200 3424 3424 3424 3200 3200 3200 3424 3424 3424 3096 3096 3096 3144 3128 3144
fir_sr_asym,22,float,float,float,1246,0,0,0,13832,6,0,0,2,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,float,float,float,122,0,0,0,304,1,0,1,1,2,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint16,cint16,cint16,25,0,0,0,4656,6,0,1,2,1,0,1,1,1,1,0,0,1,1,1,8386.0,1381.0,5342.4,8411.2,1377.97,3378.33,4348.0,1338.54,40.0,6.0,6.0,8.0,225131.0,2038 1580 1580 1580 1580 1670
fir_sr_asym,2,int16,int16,int32,38,0,0,0,128,7,0,1,1,2,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,int32,int32,int32,40,0,0,0,896,5,0,1,1,2,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint16,cint16,int32,266,0,0,0,4,2,0,0,2,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint16,cint16,int32,1241,0,0,0,1464,8,0,0,1,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint32,cint32,cint16,370,0,0,0,60,1,0,0,1,5,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint16,cint16,cint32,42,0,0,0,25024,2,1,1,2,2,1,1,1,1,1,0,0,1,1,1,1968.0,634.0,352.0,1967.31,633.82,39373.43,49324.0,634.17,14.0,8.0,8.0,16.0,36650.0,5396 4042 5156 4398 5396 4026 5156 4398
fir_sr_asym,1,int32,int32,int32,1936,0,0,0,768,2,0,1,1,8,0,1,1,1,1,0,0,1,1,1,11007.0,236.0,4697.6,11056.64,238.8,3237.6,4364.0,225.61,472.0,128.0,128.0,195.0,1824968.0,5628 5954 5954 5954 5612 5628 5628 5954 5986 5954 5612 5628 5628 5954 5954 5954 5612 5612 5628 5954 5938 5954 5612 5612 5678 6124 6124 6124 5678 6178 6124 6124 5612 5938 5612 5612 5612 5986 5628 5954 5954 5954 5612 5954 5612 5612 5612 5954 5628 5954 5954 5954 5612 5986 5612 5612 5612 5954 5628 5938 5954 5954 5612 5954 5612 5612 5628 5954 5612 5954 5954 5986 5612 5954 5612 5612 5628 5954 5612 5954 5954 5954 5612 5954 5612 5628 5628 5954 5612 5938 5986 5954 5612 5938 5612 5628 5628 5954 5612 5954 5954 5954 5646 6124 5678 5678 5678 6124 5678 5678 5612 5986 5954 5954 5628 5628 5628 5954 5954 5986 5612 5628 5628 5954 5938 5954 5612 5628
fir_sr_asym,1,cfloat,cfloat,float,63,0,0,0,24,4,0,0,1,3,0,1,1,1,1,0,0,1,1,1,1041.0,252.0,382.4,1017.6,234.37,94.4,143.0,234.37,87.0,36.0,36.0,72.0,140892.0,1468 1814 1604 1554 1468 1814 1604 1554 1578 1798 1604 1554 1468 1814 1604 1554 1468 1786 1604 1604 1588 1798 1604 1554 1468 1786 1604 1604 1478 1786 1604 1604 1588 1798 1604 1554
fir_sr_asym,2,float,float,float,4,0,0,0,80,1,0,1,2,1,0,1,1,1,1,0,0,1,1,1,2837.0,111.0,856.0,2873.96,111.35,718.4,804.0,124.37,10.0,1.0,1.0,3.0,5309.0,2224
fir_sr_asym,1,int32,int32,int32,188,0,0,0,8064,6,0,1,1,2,1,1,1,1,1,0,0,1,1,1,853.0,1196.0,528.0,844.57,1194.23,6744.0,8491.0,1187.41,30.0,24.0,24.0,48.0,93522.0,4316 3900 4188 3900 4188 3328 4188 3900 4188 3900 4176 3132 4332 3900 4188 3900 4176 3328 4188 3900 4188 3884 4188 3132
fir_sr_asym,2,cint16,cint16,cint16,1363,0,0,0,8,8,0,0,2,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,int32,int32,int32,1656,0,0,0,128,2,0,1,1,8,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,float,float,float,1055,0,0,0,8720,2,0,1,1,5,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,int32,int32,int16,283,0,0,0,16,8,0,0,1,1,0,1,1,1,1,0,0,1,1,1,3449.0,42.0,5449.6,3440.6,42.67,374.93,458.0,43.66,19.0,8.0,8.0,9.0,40420.0,1888 1680 1680 1680 1680 1664 1680 1904
fir_sr_asym,22,cint16,cint16,cint16,14,0,0,0,3584,1,0,0,1,7,1,1,1,1,1,0,0,1,1,1,1739.0,2395.0,548.79,1739.2,2397.0,1495.27,1895.0,2462.89,49.0,49.0,49.0,112.0,153370.0,1452 1452 1548 1548 1548 1548 1548 1528 1528 1548 1548 2376 2376 1548 1528 1528 1528 1452 1528 1528 2376 1528 1548 1548 1452 1528 1528 1548 1452 1548 1452 1528 1528 2376 1528 2376 1528 1548 1452 1548 1548 2376 1528 1548 1548 1838 1548 1548 1548
fir_sr_asym,1,cint32,cint32,cint32,143,0,0,0,72,10,0,1,2,1,0,1,1,1,1,0,0,1,1,1,3416.0,64.0,1320.0,3401.6,65.86,1097.6,1375.0,65.45,27.0,10.0,10.0,11.0,75859.0,3282 2850 2850 2786 2786 2786 2786 2786 2786 3048
