Library Element,Test Name,AIE_VARIANT,UUT_KERNEL,T_DATA_A,T_DATA_B,DATA_OUT_TYPE,P_DIM_A,P_DIM_AB,P_DIM_B,P_SHIFT,P_ROUND_MODE,P_SAT_MODE,P_DIM_A_LEADING,P_DIM_B_LEADING,P_DIM_OUT_LEADING,P_ADD_TILING_A,P_ADD_TILING_B,P_ADD_DETILING_OUT,P_INPUT_WINDOW_VSIZE_A,P_INPUT_WINDOW_VSIZE_B,P_CASC_LEN,UUT_SSR,SINGLE_BUF,COMPILE,SIM,FUNC,Latency (ns),Throughput (MSa/s),cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
matrix_mult,test_1_aie1_hw_qor,AIE,matrix_mult,cint16,cint32,cint32,38,1062,10,16,0,0,1,0,1,0,0,0,40356,10620,9,1,0,1,1,1,25830,26,13247,35 MSa/s,72,9,9,19,357065,1682 1708 1708 1708 1708 1708 1708 1708 1814
matrix_mult,test_2_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,3380,8,14,0,0,0,1,1,0,0,0,0,27040,112,2,13,0,1,1,1,53901,2513,22456,3780 MSa/s,156,26,26,52,681590,2056 2020 2056 2020 2056 2020 2056 2020 2056 2020 2056 2020 2056 2020 2056 2020 2056 2020 2056 2020 2056 2020 2056 2020 2056 2020
matrix_mult,test_3_aie1_hw_qor,AIE,matrix_mult,float,float,float,216,40,104,0,0,0,0,0,0,0,0,0,8640,4160,2,9,0,1,1,1,30424,2346,12500,2246 MSa/s,144,18,18,36,592218,2366 2536 2366 2536 2366 2536 2366 2536 2366 2536 2366 2536 2366 2536 2366 2536 2366 2536
matrix_mult,test_4_aie1_hw_qor,AIE,matrix_mult,cint32,cint32,cint32,20,4,48,16,0,0,1,1,1,0,0,0,80,192,2,1,0,1,1,1,4754,622,1867,642 MSa/s,11,2,2,4,24077,2002 2072
matrix_mult,test_5_aie1_hw_qor,AIE,matrix_mult,float,float,float,8,9728,4,0,0,0,0,0,1,0,0,0,77824,38912,16,1,0,1,1,1,64614,4,8659,4 MSa/s,128,16,16,33,661840,2188 2204 2204 2204 2204 2204 2204 2204 2204 2204 2204 2204 2204 2204 2204 2310
matrix_mult,test_6_aie1_hw_qor,AIE,matrix_mult,cfloat,cfloat,cfloat,19160,4,2,0,0,0,1,0,1,0,0,0,76640,8,2,10,0,1,1,0,31634,2036,15827,3026 MSa/s,160,20,20,40,969730,1668 1788 1668 1788 1668 1788 1668 1788 1668 1788 1668 1788 1668 1788 1668 1788 1668 1788 1668 1788
matrix_mult,test_14_aie1_hw_qor,AIE,matrix_mult,cint32,int32,cint32,64,392,148,16,0,0,0,1,0,0,0,0,25088,58016,14,4,0,default,default,default,,,,,,,,,,
matrix_mult,test_15_aie1_hw_qor,AIE,matrix_mult,cint32,int16,cint32,308,136,62,16,0,0,0,1,0,0,0,0,41888,8432,2,7,0,1,1,1,51755,677,29233,816 MSa/s,133,14,14,42,754537,1868 1752 1868 1752 1868 1752 1868 1752 1868 1752 1868 1752 1868 1752
matrix_mult,test_16_aie1_hw_qor,AIE,matrix_mult,int32,int32,int32,296,96,8,16,0,0,1,0,1,0,0,0,28416,768,2,2,0,1,1,1,21510,175,9755,303 MSa/s,30,4,4,8,153634,1738 1858 1738 1858
matrix_mult,test_18_aie1_hw_qor,AIE,matrix_mult,int16,int16,int32,31616,8,4,16,0,0,1,0,1,0,0,0,252928,32,1,16,0,1,1,1,9664,15897,2005,78842 MSa/s,176,16,16,48,1048672,1704 1704 1704 1704 1704 1704 1704 1704 1704 1704 1704 1704 1704 1704 1704 1704
matrix_mult,test_22_aie1_hw_qor,AIE,matrix_mult,int32,cint16,cint32,16,72,272,16,0,0,1,0,0,0,0,0,1152,19584,3,4,0,1,1,1,27487,476,4861,1119 MSa/s,96,12,12,24,418404,1708 1756 1852 1708 1756 1852 1708 1756 1852 1708 1756 1852
matrix_mult,test_23_aie1_hw_qor,AIE,matrix_mult,int16,int16,int32,8,72,1976,16,0,0,0,1,1,0,0,0,576,142272,9,2,0,1,1,1,56160,1973,2089,9459 MSa/s,124,18,18,36,673884,1724 1760 1760 1760 1760 1760 1760 1760 1792 1724 1760 1760 1760 1760 1760 1760 1760 1792
matrix_mult,test_28_aie1_hw_qor,AIE,matrix_mult,cint16,cint32,cint32,392,32,32,16,0,0,0,1,0,0,0,0,12544,1024,2,14,0,1,1,1,11558,3202,4860,3226 MSa/s,140,28,28,56,591570,2016 2068 2016 2068 2016 2068 2016 2068 2016 2068 2016 2068 2016 2068 2016 2068 2016 2068 2016 2068 2016 2068 2016 2068 2016 2068 2016 2068
matrix_mult,test_29_aie1_hw_qor,AIE,matrix_mult,int16,int32,int32,616,684,28,16,0,0,1,0,0,0,0,0,421344,19152,6,11,0,default,default,default,,,,,,,,,,
matrix_mult,test_30_aie1_hw_qor,AIE,matrix_mult,cint32,int32,cint32,140,52,20,16,0,0,0,1,0,0,0,0,7280,1040,1,2,0,1,1,1,39543,123,20984,166 MSa/s,22,2,2,6,124050,1780 1780
matrix_mult,test_33_aie1_hw_qor,AIE,matrix_mult,int32,int32,int32,8,56,8,16,0,0,1,0,1,0,0,0,448,448,2,1,0,1,1,1,893,214,323,247 MSa/s,10,2,2,4,12049,2174 2286
matrix_mult,test_39_aie1_hw_qor,AIE,matrix_mult,int16,cint16,cint16,28,320,142,16,0,0,0,0,1,0,0,0,8960,45440,10,1,0,1,1,1,48024,247,15493,320 MSa/s,61,10,10,20,271230,1648 1680 1680 1680 1680 1680 1680 1680 1680 1794
matrix_mult,test_40_aie1_hw_qor,AIE,matrix_mult,cfloat,cfloat,cfloat,4424,8,4,0,0,0,0,1,1,0,0,0,35392,32,2,7,0,1,1,1,23680,1285,12123,1824 MSa/s,91,14,14,28,462427,2442 2586 2442 2586 2442 2586 2442 2586 2442 2586 2442 2586 2442 2586
