UUT_KERNEL,DATA_A,DATA_B,DIM_A,DIM_B,DIM_A_LEADING,SHIFT,ROUND_MODE,SAT_MODE,NUM_FRAMES,CASC_LEN,UUT_SSR,USE_MATRIX_RELOAD,API_IO,DUAL_IP,NUM_OUTPUTS,AIE_VARIANT,SINGLE_BUF,COMPILE,SIM,FUNC,Latency_last (ns),Throughput_last (MSa/s),Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
matrix_vector_mul,int16,int16,32,16,1,16,0,1,1,1,1,0,0,0,1,1,,1,1,1,-1.0,-1.0,460.8,-1.0,2068.34,6.4,134.0,4011.94,7.0,1.0,1.0,3.0,4460.0,2764
matrix_vector_mul,cint32,int16,8,160,1,0,0,0,6,2,1,0,0,0,1,22,,1,1,1,18521.0,1250.0,8566.4,18521.59,1250.02,6144.0,2932.0,3274.21,24.0,2.0,2.0,5.0,131936.0,1120 1168
matrix_vector_mul,cint32,cint32,40,12,1,0,0,0,4,3,5,1,1,0,1,22,,1,1,1,1642.0,5485.0,174.4,1617.6,5465.21,-1.0,410.0,5853.65,60.0,15.0,15.0,20.0,64175.0,1060 1076 1220 1060 1076 1220 1060 1076 1220 1060 1076 1220 1060 1076 1220
matrix_vector_mul,float,cfloat,16,4,1,0,0,0,19,1,2,0,0,0,1,22,,1,1,1,9638.0,377.0,3753.6,9661.37,377.64,3220.0,3990.0,380.95,14.0,2.0,2.0,4.0,21986.0,1626 1626
matrix_vector_mul,float,cfloat,1720,4,1,0,0,0,2,1,1,1,1,0,1,22,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,int32,int32,112,128,1,0,0,0,1,8,7,1,1,0,1,22,,1,1,1,3814.0,61264.0,758.4,3749.25,56150.94,233.6,380.0,53492.53,224.0,56.0,56.0,79.0,239484.0,1284 1300 1300 1284 1300 1300 1300 1300 1300 1300 1300 1300 1362 1300 1362 1300 1300 1300 1284 1300 1284 1300 1300 1300 1300 1284 1300 1286 1300 1362 1300 1300 1300 1286 1300 1362 1300 1300 1362 1286 1300 1284 1300 1300 1300 1284 1300 1300 1300 1300 1300 1300 1362 1300 1362 1300
matrix_vector_mul,int16,cint16,64,752,1,0,0,0,1,1,2,0,0,0,1,2,,1,1,1,70934.0,2020.0,23876.8,70890.74,2020.49,23772.18,17717.0,3395.6,20.0,2.0,2.0,4.0,113210.0,1392 1392
matrix_vector_mul,cfloat,cfloat,8,14196,1,0,0,0,1,7,2,1,0,0,1,2,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,int32,int32,4312,48,1,0,0,0,3,6,7,0,0,0,1,2,,1,1,1,154047.0,24228.0,25966.4,154043.49,24227.74,25625.6,17251.0,45007.82,440.0,42.0,42.0,73.0,2687216.0,1328 1328 1328 1392 1328 1296 1328 1296 1328 1328 1328 1328 1392 1328 1392 1328 1296 1328 1328 1296 1328 1328 1328 1328 1392 1328 1392 1328 1328 1328 1296 1328 1328 1392 1328 1328 1296 1392 1328 1328 1296 1328
matrix_vector_mul,int16,cint16,288,8,1,0,0,0,8,1,3,0,0,0,1,22,,1,1,1,9838.0,7498.0,3582.4,9838.4,7500.32,2457.6,1315.0,17520.91,27.0,3.0,3.0,6.0,100371.0,1110 1110 1110
matrix_vector_mul,int16,cint16,13552,8,1,0,0,0,1,1,7,1,1,0,1,22,,1,1,1,-1.0,-1.0,113.6,-1.0,29826.34,6.4,4505.0,30082.13,70.0,7.0,7.0,13.0,449274.0,1248 1248 1248 1248 1248 1248 1248
matrix_vector_mul,cint16,int16,80,80,1,0,0,0,43,5,5,1,0,0,1,2,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,float,cfloat,8,40,1,0,0,0,92,5,1,0,0,0,1,1,,1,1,1,27865.0,3087.0,9830.4,27740.57,3085.69,9535.19,6018.0,6114.98,32.0,5.0,5.0,11.0,199516.0,2058 2202 2202 2202 2292
matrix_vector_mul,cint16,int16,40,7968,1,0,0,0,1,6,5,0,0,0,1,22,,1,1,1,43944.0,29541.0,22609.6,43781.25,29489.26,10747.93,3848.0,108763.3,270.0,30.0,30.0,60.0,1501240.0,1234 1200 1234 1234 1234 1290 1234 1200 1234 1234 1234 1290 1234 1200 1234 1234 1234 1290 1234 1200 1234 1234 1234 1290 1234 1200 1234 1234 1234 1290
matrix_vector_mul,int16,int16,896,128,1,0,0,0,2,8,1,1,1,0,1,2,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,int32,cint32,40,1400,1,0,0,0,7,5,5,0,0,0,1,22,,1,1,1,76133.0,16336.0,30643.2,75637.71,16307.31,23996.8,14910.0,32863.84,330.0,25.0,25.0,50.0,2412025.0,1284 1170 1210 1210 1210 1284 1170 1210 1210 1210 1284 1170 1210 1210 1210 1284 1170 1210 1210 1210 1284 1170 1210 1210 1210
matrix_vector_mul,cfloat,float,4,16,1,0,0,0,2,1,1,1,1,0,1,22,,1,1,1,6251.0,91.0,760.0,6264.93,91.41,1400.87,1714.0,93.34,4.0,1.0,1.0,1.0,4533.0,2554
matrix_vector_mul,int16,cint16,128,24,1,0,0,0,1,1,1,1,1,0,2,1,,1,1,1,2117.0,4524.0,120.0,2136.73,4528.3,678.4,804.0,4776.11,4.0,1.0,1.0,1.0,14514.0,2192
matrix_vector_mul,float,float,64,8,1,0,0,0,56,1,8,0,0,0,1,2,,1,1,0,22550.0,3766.0,10528.0,22551.13,3766.71,7612.0,9479.0,3780.98,72.0,8.0,8.0,16.0,306312.0,1776 1776 1776 1776 1776 1776 1776 1776
matrix_vector_mul,cint32,cint16,28,32,1,0,0,0,16,4,1,0,0,0,1,1,,1,1,1,31376.0,1381.0,10616.0,31361.02,1381.43,10361.47,5781.0,3099.8,28.0,4.0,4.0,8.0,134833.0,2342 2654 2654 2596
matrix_vector_mul,cint32,cint16,180,1472,1,0,0,0,1,8,9,0,0,0,1,1,,1,1,1,39521.0,24939.0,17262.4,38985.71,24789.16,10598.52,6493.0,51174.28,428.0,72.0,72.0,134.0,2388393.0,2340 2324 2340 2432 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2448 2340 2340 2448 2340 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2448 2340 2432 2340 2448 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2356 2448 2340 2356 2356 2356 2356 2356 2356 2448 2432
matrix_vector_mul,cfloat,cfloat,600,56,1,0,0,0,6,7,6,1,0,0,1,2,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,cint16,int16,48,80,1,0,0,0,9,1,3,0,0,0,1,22,,1,1,1,36475.0,2828.0,12320.0,36453.94,2828.73,12194.7,3789.0,11401.42,30.0,3.0,3.0,6.0,157011.0,1376 1376 1376
matrix_vector_mul,cint16,cint16,32,40,1,0,0,0,2,5,1,1,1,0,1,2,,1,1,1,1565.0,10491.0,196.8,1552.0,9467.45,-1.0,315.0,10158.73,20.0,5.0,5.0,10.0,31469.0,1232 1264 1264 1264 1328
matrix_vector_mul,int32,cint16,1008,16,1,0,0,0,4,2,6,1,1,0,1,22,,1,1,1,19151.0,12764.0,177.6,19192.0,12743.02,5065.74,6289.0,12822.38,96.0,12.0,12.0,24.0,542820.0,1338 1276 1338 1276 1338 1276 1338 1276 1338 1276 1338 1276
matrix_vector_mul,cint16,int32,8,96,0,0,0,0,1,6,1,0,0,0,1,1,,1,1,1,792.0,6981.0,358.4,795.68,7025.34,109.68,94.0,10212.76,30.0,6.0,6.0,12.0,20355.0,1964 1988 1988 1988 1988 2040
matrix_vector_mul,float,cfloat,16,2016,1,0,0,0,2,2,2,1,0,0,1,2,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,cint16,int16,136,96,1,0,0,0,3,6,1,1,1,0,1,2,,1,1,1,7069.0,18041.0,486.4,7047.68,18045.49,2144.0,2729.0,17940.63,60.0,6.0,6.0,12.0,326534.0,1488 1536 1536 1536 1536 1696
matrix_vector_mul,cint16,int16,520,64,1,0,0,0,2,1,5,1,0,0,1,2,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,cfloat,cfloat,476,12,1,0,0,0,1,3,1,0,0,0,1,22,,1,1,0,-1.0,-1.0,41894.4,-1.0,148.56,6.4,48049.0,148.59,23.0,3.0,3.0,6.0,106641.0,2732 2746 2762
matrix_vector_mul,cint16,cint32,192,360,1,0,0,0,7,6,6,0,0,0,1,2,,1,1,1,42333.0,34696.0,14518.4,42164.8,34695.34,13907.33,3998.0,151275.63,342.0,36.0,36.0,101.0,2277744.0,1056 1056 1024 1120 1056 1056 1056 1056 1024 1120 1056 1056 1056 1056 1024 1120 1056 1056 1056 1056 1024 1120 1056 1056 1056 1056 1024 1120 1056 1056 1056 1056 1024 1120 1056 1056
matrix_vector_mul,int32,int32,32,320,1,0,0,0,22,8,2,0,0,0,1,22,,1,1,1,53817.0,12652.0,18920.0,53768.11,12651.93,17752.61,8299.0,33939.97,162.0,16.0,16.0,32.0,1054968.0,1464 1444 1444 1444 1444 1444 1444 1524 1464 1444 1444 1444 1444 1444 1444 1524
matrix_vector_mul,cfloat,float,180,32,1,0,0,0,15,4,3,0,0,0,1,2,,1,1,0,192778.0,1352.0,64624.0,192702.28,1352.28,63848.73,65484.0,1649.25,135.0,12.0,12.0,24.0,775290.0,2224 2272 2272 2288 2224 2272 2272 2288 2224 2272 2272 2288
matrix_vector_mul,int16,cint16,31232,64,1,0,0,0,1,8,8,1,0,0,1,2,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,float,cfloat,2168,20,1,0,0,0,1,5,1,1,1,0,1,2,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,cfloat,float,4,520,1,0,0,0,14,5,1,0,0,0,1,22,,1,1,1,214224.0,440.0,82540.8,213902.4,439.94,66064.86,72393.0,502.81,47.0,5.0,5.0,10.0,304492.0,2348 2380 2380 2380 2426
matrix_vector_mul,int16,cint16,32,152,1,0,0,0,1,1,2,1,0,0,1,22,,1,1,1,909.0,15589.0,473.6,909.44,15635.66,311.2,334.0,18203.59,8.0,2.0,2.0,2.0,26602.0,1064 1064
matrix_vector_mul,float,cfloat,456,24,1,0,0,0,6,6,1,0,0,0,1,2,,1,1,0,192211.0,1371.0,48457.6,192188.67,1371.95,47838.0,48897.0,1678.63,59.0,6.0,6.0,12.0,323426.0,1616 1648 1648 1648 1648 1680
matrix_vector_mul,int16,cint32,80,4,1,0,0,0,2,1,1,1,1,0,1,22,,1,1,1,4305.0,1142.0,129.6,4304.8,1140.99,560.68,668.0,1197.6,4.0,1.0,1.0,1.0,4793.0,1204
matrix_vector_mul,int16,cint32,5040,12,1,0,0,0,4,3,5,1,1,0,1,2,,1,1,1,20489.0,26808.0,118.4,20537.72,26765.11,9042.4,11249.0,26882.38,150.0,15.0,15.0,30.0,1000705.0,1168 1200 1552 1168 1200 1552 1168 1200 1552 1168 1200 1552 1168 1200 1552
matrix_vector_mul,int16,int32,32,416,1,0,0,0,4,4,1,0,0,0,1,2,,1,1,1,16528.0,9993.0,8347.2,16528.0,9993.99,5328.0,3676.0,18106.63,43.0,4.0,4.0,8.0,236090.0,1280 1344 1344 1392
matrix_vector_mul,float,cfloat,16,12,1,0,0,0,88,1,2,1,0,0,1,22,,default,default,default,,,,,,,,,,,,,,
