UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DIM_ROWS,DIM_COLS,NUM_FRAMES,CASC_LEN,DIM_A_LEADING,DIM_Q_LEADING,DIM_R_LEADING,COMPILE,SIM,FUNC,Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
qrd,1,float,16,16,1,1,0,0,0,1,1,1,8908.79,17558.5,28.87,8865.6,9023.0,29.79,4.0,1.0,1.0,2.0,4589.0,1964
qrd,22,cfloat,16,8,2,4,0,0,0,1,1,1,9673.6,28698.83,17.77,14400.4,15160.0,17.73,16.0,4.0,4.0,8.0,11508.0,4086 4084 4084 5688
qrd,22,float,480,16,6,7,1,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,192,80,1,2,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,cfloat,76,4,1,1,0,0,0,1,1,1,2785.6,5071.25,110.49,2749.6,2798.0,135.81,4.0,1.0,1.0,2.0,7053.0,2388
qrd,22,float,544,96,2,8,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,cfloat,32,24,3,2,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,32,16,3,8,0,0,0,1,1,1,20340.8,57309.02,53.12,28912.0,30494.0,52.88,32.0,8.0,8.0,16.0,28016.0,2484 3444 2476 2476 2476 2476 3444 3412
qrd,22,float,144,16,7,1,1,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,76,40,7,7,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,224,8,2,5,0,0,0,1,1,1,160603.2,473657.71,15.06,237862.03,295927.0,15.13,22.0,5.0,5.0,7.0,74522.0,9472 9616 9616 9616 10784
qrd,2,float,184,104,5,8,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,104,24,2,10,1,0,0,1,1,1,20798.4,57908.8,169.16,29509.66,36571.0,170.62,40.0,10.0,10.0,21.0,63243.0,2594 3180 3146 3146 3146 2508 3146 2508 3146 3110
qrd,22,cfloat,264,24,1,3,0,0,0,default,default,default,,,,,,,,,,,,
