UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DIM_SIZE,SUBST_TYPE,L_LEADING,GRID_DIM,NUM_FRAMES,DIAG_INV,COMPILE,SIM,FUNC,Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
substitution,22,cfloat,16,0,0,1,1,0,1,1,1,11459.2,22458.13,1.4,11377.25,11543.0,1.45,6.0,1.0,1.0,3.0,3955.0,6356
substitution,2,float,48,0,0,6,3,1,1,1,1,5875.2,11520.74,24.84,5795.31,7902.0,25.56,89.0,21.0,21.0,44.0,49884.0,1808 4304 4288 1776 1808 1808 1808 1808 4192 1776 1808 1808 4304 1808 1776 4304 4304 1776 1776 1808 1808
substitution,22,float,480,0,0,6,1,1,1,1,0,44025.6,256510.15,3.64,131721.6,139339.0,3.78,152.0,21.0,21.0,44.0,596151.0,5638 5636 2486 2502 2502 2502 2502 5582 2486 2502 2502 5638 2486 2502 5638 5638 2486 2486 2502 2502 2502
substitution,2,float,208,0,0,2,1,0,1,1,1,68329.6,127945.17,3.04,68272.34,77566.0,3.38,29.0,3.0,3.0,6.0,139508.0,2032 7312 7328
substitution,22,cfloat,144,0,0,6,1,1,1,1,1,20051.2,66267.63,-1.0,-1.0,39409.0,4.21,95.0,21.0,21.0,42.0,141777.0,6446 6448 2828 2844 2844 2844 2844 6390 2828 2844 2844 6450 2828 2844 6450 6450 2828 2828 2844 2844 2844
substitution,1,cfloat,16,0,0,4,3,0,default,default,default,,,,,,,,,,,,
substitution,1,cfloat,32,0,0,2,1,1,1,1,1,1865.6,2397.02,44.51,699.2,886.0,47.9,24.0,6.0,6.0,10.0,38625.0,1490 2820 1490 1934 1490 2814
substitution,22,float,64,0,0,2,4,0,1,1,1,49168.0,94564.37,5.2,49149.82,48325.0,5.65,19.0,3.0,3.0,7.0,59017.0,5732 2402 5666
substitution,22,float,128,0,0,2,2,1,1,1,1,63448.0,119175.68,4.03,63416.8,60243.0,4.6,24.0,3.0,3.0,7.0,108937.0,5732 2420 5658
substitution,1,cfloat,60,0,0,1,1,0,1,1,1,18217.59,28664.73,5.71,10504.8,5896.0,12.72,16.0,2.0,2.0,4.0,90817.0,2758 1434
substitution,2,cfloat,192,0,0,6,4,1,1,1,0,145320.0,329335.88,4.57,167904.73,207305.0,4.72,142.0,21.0,21.0,44.0,778743.0,2288 6016 6000 2256 2288 2288 2288 2288 5984 2256 2288 2288 6016 2288 2256 6016 6016 2256 2256 2288 2288
substitution,1,cfloat,36,0,0,1,3,0,default,default,default,,,,,,,,,,,,
substitution,1,float,72,0,0,3,1,0,1,1,1,1152.0,1811.52,65.04,1106.17,859.0,104.77,30.0,6.0,6.0,13.0,24622.0,1812 1874 3188 1812 3236 3252
substitution,2,cfloat,256,0,0,4,2,1,1,1,0,214432.0,623171.65,1.6,317858.09,384286.0,1.71,105.0,10.0,10.0,22.0,700598.0,2256 2288 2288 5968 5968 2256 2288 6016 6016 2256
substitution,22,float,448,0,0,7,4,1,default,default,default,,,,,,,,,,,,
substitution,1,float,16,0,0,1,3,0,1,1,1,1819.2,2994.24,27.02,1774.97,1406.0,42.67,6.0,1.0,1.0,2.0,5230.0,3008
substitution,2,cfloat,8,0,0,1,3,1,1,1,1,11347.2,22397.54,2.12,11317.48,13728.0,2.18,6.0,1.0,1.0,2.0,3636.0,5664
substitution,22,cfloat,112,0,0,7,3,1,default,default,default,,,,,,,,,,,,
substitution,2,float,80,0,0,5,2,1,1,1,1,8755.2,16311.36,19.24,8337.48,11224.0,20.02,65.0,15.0,15.0,30.0,57210.0,2096 5472 5440 2128 2096 5472 2096 2128 2128 5472 2160 2112 2160 2160 5360
substitution,22,cfloat,32,0,0,4,2,1,1,1,1,9824.0,19331.52,6.59,9710.74,11082.0,6.25,47.0,10.0,10.0,21.0,28402.0,2792 6486 2792 2804 6486 6516 2792 2804 2804 6410
substitution,22,cfloat,48,0,0,2,2,1,1,1,1,40040.0,78126.29,2.4,39927.54,41325.0,2.51,18.0,3.0,3.0,6.0,36439.0,6544 2824 6478
substitution,2,cfloat,28,0,0,7,3,1,1,1,1,5401.6,10677.54,15.74,5334.74,7546.0,16.0,116.0,28.0,28.0,61.0,55601.0,1920 1952 1920 4496 1952 1952 1952 4496 4496 1920 1952 1920 1952 1952 1952 4496 1952 1920 1952 1952 1952 1952 4400 1952 1952 1920 4496 4464
