Library Element,AIE_VARIANT,UUT_KERNEL,TT_DATA,TT_TWIDDLE,TP_POINT_SIZE,TP_CASC_LEN,TP_NUM_FRAMES,TP_FFT_NIFFT,TP_SHIFT,TP_API,TP_RND,TP_SAT,TP_SSR,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,DATA_MEMORY,PROGRAM_MEMORY
dft,AIE,dft,cint16,cint16,112,2,1,0,0,0,0,0,1,1,1,1,2391,146,922,151,14,2,54366,1772 1860
dft,AIE,dft,cint16,cint16,112,4,1,0,0,0,0,0,1,1,1,1,1741,281,470,297,22,4,56890,2734 2720 2720 2822
dft,AIE,dft,cint16,cint16,112,1,1,0,0,0,0,0,2,1,1,1,2117,156,855,163,16,2,55264,2116 2116
dft,AIE,dft,cint16,cint16,112,2,1,0,0,0,0,0,2,1,1,1,1694,274,479,292,23,4,57660,2040 2116 2040 2116
dft,AIE,dft,cint16,cint16,112,4,1,0,0,0,0,0,2,1,1,1,1171,470,272,528,34,8,62708,3090 3080 3080 3180 3090 3080 3080 3180
dft,AIE,dft,cint16,cint16,112,1,1,0,0,0,0,0,4,1,1,1,1216,267,480,291,26,4,66752,2278 2278 2278 2278
dft,AIE,dft,cint16,cint16,112,2,1,0,0,0,0,0,4,1,1,1,1085,442,285,492,39,8,71544,2194 1860 1860 2194 2194 1860 1860 2194
dft,AIE,dft,cint16,cint16,112,4,1,0,0,0,0,0,4,1,1,1,777,736,165,853,69,16,81640,2734 2822 2720 2720 2720 2720 2822 2734 2734 2822 2720 2720 2720 2720 2822 2734
dft,AIE,dft,cint16,cint16,112,2,16,0,0,0,0,0,1,1,1,1,34037,155,14386,155,15,2,81246,1808 1896
dft,AIE,dft,cint16,cint16,112,4,16,0,0,0,0,0,1,1,1,1,16660,318,7003,319,21,4,85690,2790 2778 2778 2868
dft,AIE,dft,cint16,cint16,112,1,16,0,0,0,0,0,2,1,1,1,30963,166,13432,166,16,2,95584,2142 2142
